FishCode,Pond,AssayClass,TLEN,Sex,Stage,Fgut,Egut,Contents,Fullness,Orthop_num,Orthop_mass,Dermap_num,Dermap_mass,TerrColeo_num,TerrColeo_mass,Hymen_num,Hymen_mass,Lepid_num,Lepid_mass,BivalvTot_num,BivalvTot_mass,GastroTot_num,GastroTot_mass,PelZoopTot_num,PelZoopTot_mass,ClitellaTot_num,ClitellaTot_mass,EphemTot_num,EphemTot_mass,TrichopteraTot_num,Trichoptera_mass,DipteraTot_num,DipteraTot_mass,OdonataTot_num,OdonataTot_mass,HemipteraTot_num,HemipteraTot_mass,Other_num,Other_mass,PUTot_num,PUTot_mass,FishTot_num,FishTot_mass,ContentMass,Date,Season,GonStatus,Sample,GFI,GFI2,CaptureMethod,ParasiteLoad
PU-PP-6,PP,G,92,F,22,0.539,0.528,MT,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18/12/2020,Winter,Dormant,1,0.086349007,,,
PU-PP-7,PP,G,87,F,22,0.417,0.407,MT,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18/12/2020,Winter,Dormant,1,0.089774666,,,
PU-PP-8,PP,G,91,F,22,0.615,0.471,Inverts,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18/12/2020,Winter,Dormant,1,1.057423998,,,
PU-PP-9,PP,G,94,M,22,0.605,0.559,Inverts,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18/12/2020,Winter,Dormant,1,0.341322253,,,
PU-GBP-13,GBP,G,61,M,22,0.14,0.134,MT,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18/01/2021,Winter,Dormant,2,0.17452007,,T,
PU-GBP-14,GBP,G,73,M,22,0.282,0.272,MT,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18/01/2021,Winter,Dormant,2,0.152951973,,T,
PU-GBP-15,GBP,N,59,M,22,0.101,0.097,MT,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18/01/2021,Winter,Dormant,2,0.130890052,,T,
PU-GBP-16,GBP,G,63,F,22,0.149,0.143,MT,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18/01/2021,Winter,Dormant,2,0.146270112,,T,
PU-GBP-17,GBP,N,55,F,22,0.098,0.093,MT,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18/01/2021,Winter,Dormant,2,0.196232339,,T,
PU-GBP-18,GBP,G,63,F,22,0.157,0.151,MT,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18/01/2021,Winter,Dormant,2,0.139534884,,T,
PU-GBP-19,GBP,G,83,M,22,0.439,0.423,MT,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18/01/2021,Winter,Dormant,2,0.170757737,,T,
PU-GBP-20,GBP,N,53,F,22,0.083,0.079,MT,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18/01/2021,Winter,Dormant,2,0.194931774,,T,
PU-GBP-21,GBP,N,59,M,22,0.132,0.129,MT,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18/01/2021,Winter,Dormant,2,0.08912656,,T,
