FishCode,Pond,SizeClass,SizeClass_Eco,AssayClass,Sex,Stage,Fgut,Egut,Fullness,Rock_num,Rock_mass,DigestedArthropoda_num,DigestedArthropoda_mass,TerrestrialInvert_num,TerrestrialInvert_num,Decapod_Cambaridae_num,Decapod_Cambaridae_mass,Hemipt_Corixidae_num,Hemipt_Corixidae_mass,Coleo_Dytiscidae_num,Coleo_Dytiscidae_mass,Hemipt_Belostomatidae_num,Hemipt_Belostomatidae_mass,Amphipoda_num,Amphipoda_mass,Bivalvia_num,Bivalvia_mass,Gastropoda_num,Gastropoda_mass,Hydrachnidia_num,Hydrachnidia_mass,PelZoop_CladCop_num,PelZoop_CladCop_mass,Odo_Anisoptera_num,Odo_Anisoptera_mass,Odo_Zygoptera_num,Odo_Zygoptera_mass,Dipt_Chaoboridae_num,Dipt_Chaoboridae_mass,Dipt_Chironomidae_num,Dipt_Chironomidae_mass,Dipt_Tipulidae_num,Dipt_Tipulidae_mass,Dipt_Stratiomyidae_num,Dipt_Stratiomyidae_mass,Trichoptera_num,Trichoptera_mass,Ephemeroptera_num,Ephemeroptera_mass,Clitellata_Hirudinae_num,Clitellata_Hirudinae_mass,Clitellata_Oligochaeta_num,Clitellata_Oligochaeta_mass,Stickle_num,Stickle_mass,FatH_num,FatH_mass,RBD_num,RBD_mass,PU_num,PU_mass,Fish_num,Fish_mass,Vegetation_num,Vegetation_mass,BivalvTot_num,BivalvTot_mass,GastroTot_num,GastroTot_mass,PelZoopTot_num,PelZoopTot_mass,ClitellaTot_num,ClitellaTot_mass,EphemTot_num,EphemTot_mass,TrichopteraTot_num,Trichoptera_mass,DipteraTot_num,DipteraTot_mass,OdonataTot_num,OdonataTot_mass,HemipteraTot_num,HemipteraTot_mass,Other_num,Other_mass,PUTot_num,PUTot_mass,FishTot_Num,FishTot_mass,ContentMass,Date,Sample,GFI,GFI2,CaptureMethod,ParasiteLoad
PU-GSP-22,GSP,I,I,G,F,22,,1.053,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,19/12/2020,1,,,,
PU-KSB-1,KSB,B,B,N,M,22,7.132,7.05,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21/12/2020,1,0.047752711,,A,
PU-KSB-2,KSB,B,B,N,M,22,5.605,5.523,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21/12/2020,1,0.067665698,,A,
PU-KSB-3,KSB,B,B,N,M,22,1.43,1.378,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21/12/2020,1,0.031535411,,A,
PU-KSB-4,KSB,B,B,N,F,22,3.99,3.937,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21/12/2020,1,0.050785742,,A,
PU-KSB-5,KSB,B,B,N,M,22,5.537,5.486,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21/12/2020,1,0.033313302,,A,
PU-KSB-6,KSB,B,B,N,M,22,5.333,5.209,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21/12/2020,1,0.087647375,,A,
PU-KSB-7,KSB,B,B,N,F,22,5.881,5.772,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,30/12/2020,1,0.069461261,,A,
PU-KSB-8,KSB,B,B,N,M,22,7.326,6.818,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,30/12/2020,1,0.338055912,,A,
PU-KSB-9,KSB,B,B,N,M,22,6.776,6.445,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,30/12/2020,1,0.202255979,,A,
PU-KSB-10,KSB,B,B,N,M,22,4.324,4.27,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,30/12/2020,1,0.0381461,,A,
PU-KSS-1,KSS,I,I,G,M,22,0.72,0.708,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21/12/2020,1,0.07693294,,,
