FishCode,FishCode2,TLEN,FLEN,RWT,Liver,Gonad,Pond,Sex,Stage,Fgut,Egut,Fullness,Stickle_num,Stickle_mass,FatH_num,FatH_mass,RBD_num,RBD_mass,PU_num,PU_mass,Fish_num,Fish_mass,Vegetation_num,Vegetation_mass,BivalvTot_num,BivalvTot_mass,GastroTot_num,GastroTot_mass,PelZoopTot_num,PelZoopTot_mass,ClitellaTot_num,ClitellaTot_mass,EphemTot_num,EphemTot_mass,TrichopteraTot_num,Trichoptera_mass,DipteraTot_num,DipteraTot_mass,OdonataTot_num,OdonataTot_mass,HemipteraTot_num,HemipteraTot_mass,Other_num,Other_mass,PUTot_num,PUTot_mass,FishTot_Num,FishTot_mass,ContentMass,Date,Sample,GFI,GFI2,CaptureMethod,ParasiteLoad
PU-GSP-69,PU-GSP-69,61,58,3.624,0.104,0.01,GSP,M,22,0.13,0.12,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.001,0,0,0,0,0,0,0,0,0,0,0.001,19/2/2021,4,0.27593819,0.303532009,T,1
PU-KSB-73,PU-KSB-73,57,54,2.496,0.054,0.004,KSB,M,20,0.134,0.12,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.003,0,0,0,0,0,0,0,0,0.003,19/03/2021,6,0.560897436,0.681089744,T,3
PU-GSP-87,PU-GSP-87,60,58,3.508,0.12,0.063,GSP,F,22,0.136,0.121,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5/3/2021,5,0.427594071,0.427594071,T,1
PU-PP-112,PU-PP-112,64,60,3.545,0.097,0.056,PP,F,22,0.167,0.121,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.03,0,0,0,0,0,0,0,0,0,0,0.03,18/3/2021,6,1.297602257,2.143864598,T,2
PU-GSP-26,PU-GSP-26,56,53,2.964,0.068,0.047,GSP,F,22,0.136,0.122,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,16/01/2021,2,0.472334683,,T,
PU-KSS-38,PU-KSS-38,64,61,4.47,0.09,0.007,KSS,M,22,0.157,0.122,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0,0,0,0,0.013,9/2/2021,3,0.782997763,1.073825503,T,2
PU-KSB-25,PU-KSB-25,56,53,2.726,0.036,0.003,KSB,M,22,0.169,0.123,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.007,3,0.015,0,0,0,0,0,0,0,0,0.022,11/2/2021,3,1.687454145,2.494497432,T,3
PU-KSB-46,PU-KSB-46,58,54,2.887,0.059,0.027,KSB,F,22,0.17,0.123,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.021,4,0.01,0,0,0,0,0,0,0,0,0.022,21/2/21,4,1.62798753,2.390024247,T,2
PU-KSB-43,PU-KSB-43,63,60,3.651,0.066,0.043,KSB,F,22,0.127,0.124,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21/2/21,4,0.082169269,0.082169269,T,3
PU-PP-53,PU-PP-53,62,59,3.442,0.103,0.007,PP,M,22,0.15,0.125,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.013,0,0,0,0,0,0,0,0,0,0,0.013,20/2/2021,4,0.726321906,1.104009297,T,3
PU-KSB-30,PU-KSB-30,56,53,2.965,0.069,0.001,KSB,M,20,0.184,0.126,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.037,0,0,0,0,0,0,0,0,0,0,0.037,11/2/2021,3,1.956155143,3.204047218,T,3
PU-KSS-35,PU-KSS-35,63,58,3.535,0.078,0.007,KSS,M,22,0.137,0.126,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9/2/2021,3,0.311173975,0.311173975,T,2
PU-GSP-131,PU-GSP-131,61,57,3.315,0.069,0.064,GSP,F,22,0.14,0.128,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,17/3/2021,6,0.36199095,0.4826546,T,1
PU-GSP-49,PU-GSP-49,60,57,3.416,0.069,0.06,GSP,F,22,0.137,0.128,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5/2/2021,3,0.263466042,0.263466042,T,
PU-PP-58,PU-PP-58,62,58,3.415,0.067,0.009,PP,M,22,0.148,0.128,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.006,0,0,0,0,0,0,0,0,0,0,0.006,20/2/2021,4,0.585651537,0.761346999,T,3
PU-GBP-21,PU-GBP-21,59,55,3.366,0.076,0.008,GBP,M,22,0.132,0.129,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18/01/2021,2,0.08912656,,T,
PU-GSP-216,PU-GSP-216,53,49,2.259,0.046,0.047,GSP,F,23,0.145,0.13,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18/5/2021,10,0.664010624,0.664010624,T,2
PU-KSS-46,PU-KSS-46,64,61,3.98,0.072,0.007,KSS,M,22,0.16,0.13,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/2/2021,3,0.753768844,0.753768844,T,3
PU-GSP-108,PU-GSP-108,58,55,3.296,0.09,0.06,GSP,F,22,0.164,0.131,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.004,0,0,0,0,0,0,0,0,0,0,0.004,5/3/2021,5,1.001213592,1.122572816,T,1
PU-GSP-148,PU-GSP-148,60,57,3.481,0.108,0.075,GSP,F,22,0.14,0.131,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3/4/2021,7,0.258546395,0.258546395,T,1
PU-GSP-136,PU-GSP-136,59,56,3.346,0.076,0.056,GSP,F,22,0.234,0.133,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.078,0,0,0,0,0,0,0,0,0,0,0.078,17/3/2021,6,3.018529588,5.349671249,T,1
PU-PP-55,PU-PP-55,64,60,3.934,0.086,0.062,PP,F,22,0.138,0.133,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20/2/2021,4,0.127097102,0.127097102,T,3
PU-GBP-13,PU-GBP-13,61,57,3.438,0.075,0.005,GBP,M,22,0.14,0.134,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18/01/2021,2,0.17452007,,T,
PU-KSB-78,PU-KSB-78,64,61,3.687,0.055,0.04,KSB,F,23,0.185,0.134,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.033,0,0,0,0,0,0,0,0,0,0,0.024,9/4/2021,7,1.383238405,2.034174125,T,1
PU-KSB-28,PU-KSB-28,59,56,3.094,0.062,0.034,KSB,F,22,0.173,0.135,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.005,1,0.006,0,0,0,0,0,0,0,0,0.011,11/2/2021,3,1.228183581,1.583710407,T,3
PU-KSS-50,PU-KSS-50,61,58,3.373,0.059,0.075,KSS,F,23,0.151,0.136,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0.004,7/4/2021,7,0.444707975,0.563296768,T,3
PU-GSP-233,PU-GSP-233,62,59,4.386,0.071,0.159,GSP,M,30,0.182,0.137,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.034,0,0,0,0,0,0,0,0,0,0,0.034,6/6/2021,11,1.025991792,1.801185591,T,1
PU-KSS-44,PU-KSS-44,62,58,3.779,0.071,0.006,KSS,M,22,0.156,0.137,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/2/2021,3,0.502778513,0.502778513,T,3
PU-KSS-48,PU-KSS-48,60,55,3.098,0.075,0.072,KSS,F,23,0.185,0.137,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.025,0,0,4,0.004,0,0,0,0,0.029,7/4/2021,7,1.549386701,2.4854745,T,3
PU-KSB-24,PU-KSB-24,62,58,3.151,0.045,0.031,KSB,F,20,0.23,0.138,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.048,0,0,4,0.01,0,0,0,0,0.058,11/2/2021,3,2.919708029,4.760393526,T,3
PU-KSB-21,PU-KSB-21,64,61,4.059,0.047,0.005,KSB,M,22,0.164,0.139,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.009,0,0,0,0,0,0,0,0,0,0,0.009,11/2/2021,3,0.61591525,0.83764474,T,3
PU-KSS-26,PU-KSS-26,64,60,3.805,0.062,0.003,KSS,M,22,0.169,0.139,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21/01/2021,2,0.788436268,,T,
PU-KSS-52,PU-KSS-52,60,57,3.398,0.086,0.072,KSS,F,23,0.177,0.139,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024,8/4/2021,7,1.118304885,1.824602707,T,3
PU-GSP-150,PU-GSP-150,62,58,3.609,0.134,0.075,GSP,F,23,0.154,0.14,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.002,0,0,0,0,0,0,0,0,0,0,0.002,3/4/2021,7,0.387919091,0.443336104,T,1
PU-GSP-48,PU-GSP-48,60,57,3.593,0.109,0.068,GSP,F,22,0.149,0.14,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5/2/2021,3,0.250487058,0.250487058,T,
